Name,style,Exterior color,interior color,Engine,drive type,Fuel Type,Transmission,Mileage,mpg city,mpg highway,price,Year,Engine V,Brand
Silverado,Pickup Truck,Silver Ice Metallic,Dark Ash With Jet Black Interior Accents,V-6 Gas,RWD,Gas,Automatic,199745,18,24,10650,2016,4.3,Chevrolet
Fiesta,Sedan,White Platinum Metallic Tri-Coat,Charcoal Black,Inline-4 Gas,FWD,Gas,Automatic,50700,27,35,14720,2019,1.6,Ford
Silverado,Pickup Truck,Silver Ice Metallic,Jet Black,V-6 Gas,4WD,Gas,Automatic,119500,17,22,26400,2018,4.3,Chevrolet
Explorer,SUV,Oxford White,Medium Stone/Med Lt Stone,V-6 Gas,FWD,Gas,Automatic,117354,17,24,20900,2018,3.5,Ford
Cherokee,SUV,Bright White Clearcoat,Black,V-4 Gas Turbocharged,4WD,Gas,Automatic,31824,18,24,26500,2019,2.0,Jeep
Cherokee,SUV,Diamond Black Crystal Pearlcoat,Black,Inline-4 Gas,FWD,Gas,Automatic,25661,22,31,23988,2019,2.4,Jeep
F-150,Pickup Truck,Black,Unknown,V-6 Gas Turbocharged,4WD,Gas,Automatic,28833,18,23,37782,2018,2.7,Ford
Mercedes-Benz C-Class,Sedan,Black,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,26069,23,34,35995,2019,2.0,Mercedes
F-150,Pickup Truck,Black,Black,V-8 Gas,RWD,Gas,Automatic,62611,19,25,37800,2020,5.0,Ford
Cherokee,SUV,Bright White Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,22915,19,27,26900,2019,3.2,Jeep
Corolla,Sedan,Black Sand Pearl,Unknown,Inline-4 Gas,FWD,Gas,Automatic,41552,31,40,21288,2020,2.0,Toyota
Escape,SUV,Oxford White,Charcoal Black,Inline-4 Gas Turbocharged,4WD,Gas,Automatic,143012,22,28,11848,2017,1.5,Ford
Mercedes-Benz Metris Cargo Van,Cargo Van,Arctic White,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,76517,21,24,22900,2017,2.0,Mercedes
F-150,Pickup Truck,Guard Metallic,Medium Earth Gray,V-6 Gas Turbocharged,RWD,Gas,Automatic,44716,20,25,26495,2018,2.7,Ford
Rogue,SUV,Magnetic Black,Charcoal,Inline-4 Gas,AWD,Gas,Automatic,42013,25,32,23995,2018,2.5,Nissan
F-150,Pickup Truck,White,Unknown,V-6 Gas Turbocharged,4WD,Gas,Automatic,78248,17,23,28998,2016,2.7,Ford
RAV4,SUV,Black,Black,Inline-4 Gas,AWD,Gas,Automatic,88823,22,28,16911,2018,2.5,Toyota
200,Sedan,Black Clearcoat,Black,Inline-4 Gas,FWD,Gas,Automatic,122600,23,36,9999,2015,2.4,Chrysler
RDX,SUV,Modern Steel Metallic,Red,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,70684,22,27,26750,2019,2.0,Acura
Sentra,Sedan,Brilliant Silver,Charcoal,Inline-4 Gas,FWD,Gas,Automatic,52501,29,37,15238,2018,1.8,Nissan
Escape,SUV,Magnetic Metallic,Charcoal Black,Inline-4 Gas Turbocharged,4WD,Gas,Automatic,123082,22,28,12974,2017,2.0,Ford
Altima,Sedan,Gray,Unknown,Inline-4 Gas,FWD,Gas,Automatic,157255,27,38,8500,2015,2.5,Nissan
F-150,Pickup Truck,Magnetic Metallic,Medium Earth Gray,V-6 Gas Turbocharged,4WD,Gas,Automatic,88746,18,23,29999,2018,2.7,Ford
Cherokee,SUV,Billet Silver Metallic Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,36175,19,27,24900,2019,3.2,Jeep
F-150,Pickup Truck,Oxford White,Medium Earth Gray,V-6 Gas Turbocharged,4WD,Gas,Automatic,152121,18,23,25999,2018,3.5,Ford
Equinox,SUV,Summit White,Jet Black,Inline-4 Diesel Turbocharged,FWD,Diesel,Automatic,122403,28,39,18995,2018,1.6,Chevrolet
Altima,Sedan,White,Gray,Inline-4 Gas,FWD,Gas,Automatic,89986,27,38,11499,2014,2.5,Nissan
Sonata,Sedan,Quartz White Pearl,Gray,Inline-4 Gas,FWD,Gas,Automatic,103708,25,38,11490,2016,2.4,Hyundai
Wrangler,SUV,Black Clearcoat,Black,V-6 Gas,4WD,Gas,Manual,95610,16,21,26992,2017,3.6,Jeep
Escape,SUV,Agate Black Metallic,Chromite Gray/Chrcl Black,Inline-4 Gas,FWD,Gas,Automatic,139141,21,29,13990,2019,2.5,Ford
,Pickup Truck,Maximum Steel Metallic Clearcoat,Diesel Gray/Black,V-6 Gas,RWD,Gas,Automatic,81596,17,25,18405,2014,3.6,Ram
F-150,Pickup Truck,Black,Unknown,V-8 Gas,4WD,Gas,Automatic,23647,18,23,39093,2020,5.0,Ford
F-150,Pickup Truck,Guard Metallic,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,128700,18,23,25999,2018,5.0,Ford
Camry,Sedan,Super White,Black,Inline-4 Gas,FWD,Gas,Automatic,22549,28,39,21500,2019,2.5,Toyota
